iter	Passed	Remaining
0	146	146242
1	147	73714
2	148	49408
3	149	37249
4	150	29976
5	152	25189
6	152	21701
7	153	19086
8	155	17081
9	156	15456
10	157	14125
11	158	13013
12	158	12070
13	159	11261
14	160	10563
15	161	9948
16	162	9421
17	163	8944
18	164	8509
19	165	8119
20	166	7770
21	167	7449
22	168	7155
23	169	6891
24	170	6645
25	171	6417
26	172	6199
27	172	6002
28	173	5818
29	174	5643
30	175	5483
31	176	5335
32	177	5195
33	178	5063
34	179	4939
35	180	4821
36	180	4710
37	181	4605
38	182	4507
39	183	4413
40	184	4323
41	185	4236
42	186	4155
43	187	4077
44	188	4003
45	189	3930
46	190	3861
47	191	3794
48	192	3732
49	193	3675
50	194	3615
51	195	3558
52	196	3504
53	197	3451
54	198	3402
55	198	3353
56	199	3305
57	200	3258
58	201	3214
59	202	3171
60	203	3129
61	204	3088
62	204	3048
63	205	3010
64	206	2973
65	207	2937
66	208	2902
67	209	2868
68	210	2835
69	211	2804
70	212	2774
71	212	2742
72	213	2713
73	214	2685
74	215	2657
75	216	2632
76	217	2606
77	218	2581
78	219	2556
79	220	2531
80	220	2507
81	221	2483
82	222	2460
83	223	2437
84	224	2417
85	225	2396
86	226	2377
87	227	2357
88	228	2337
89	229	2317
90	230	2298
91	231	2281
92	232	2262
93	232	2245
94	233	2227
95	234	2209
96	235	2192
97	236	2175
98	237	2159
99	238	2144
100	239	2128
101	240	2113
102	240	2096
103	241	2082
104	242	2068
105	243	2054
106	244	2039
107	245	2025
108	246	2011
109	247	1998
110	247	1985
111	248	1971
112	249	1958
113	250	1945
114	251	1933
115	252	1921
116	252	1909
117	253	1897
118	255	1889
119	256	1879
120	257	1868
121	258	1857
122	258	1846
123	259	1835
124	260	1824
125	261	1812
126	262	1802
127	263	1792
128	263	1780
129	264	1771
130	265	1761
131	266	1749
132	266	1740
133	267	1731
134	268	1722
135	269	1714
136	270	1706
137	271	1697
138	272	1688
139	273	1679
140	274	1670
141	275	1662
142	276	1654
143	276	1645
144	277	1637
145	278	1629
146	279	1621
147	279	1611
148	280	1603
149	281	1596
150	282	1588
151	283	1581
152	284	1574
153	285	1567
154	286	1560
155	287	1552
156	287	1545
157	288	1538
158	289	1531
159	290	1524
160	291	1517
161	292	1511
162	292	1503
163	293	1496
164	294	1490
165	295	1483
166	296	1477
167	297	1470
168	297	1464
169	298	1458
170	299	1452
171	300	1446
172	301	1441
173	302	1435
174	303	1429
175	304	1424
176	305	1418
177	306	1413
178	306	1407
179	307	1402
180	308	1397
181	309	1391
182	310	1386
183	311	1381
184	312	1375
185	313	1370
186	314	1365
187	314	1360
188	315	1355
189	316	1349
190	317	1344
191	317	1337
192	318	1332
193	319	1327
194	320	1322
195	321	1317
196	322	1313
197	322	1307
198	323	1302
199	324	1298
200	325	1294
201	326	1290
202	327	1287
203	328	1282
204	329	1277
205	330	1273
206	331	1269
207	332	1265
208	333	1260
209	334	1256
210	335	1252
211	336	1249
212	337	1245
213	338	1241
214	338	1237
215	339	1233
216	340	1230
217	341	1226
218	342	1222
219	343	1218
220	344	1214
221	345	1211
222	346	1207
223	347	1203
224	348	1200
225	349	1196
226	350	1192
227	351	1188
228	351	1185
229	352	1181
230	353	1177
231	354	1173
232	355	1170
233	356	1167
234	357	1163
235	358	1160
236	359	1156
237	360	1153
238	361	1150
239	362	1147
240	363	1144
241	364	1140
242	365	1137
243	366	1134
244	367	1131
245	367	1127
246	368	1124
247	369	1121
248	370	1118
249	371	1114
250	372	1111
251	373	1108
252	374	1105
253	375	1102
254	376	1099
255	377	1095
256	378	1092
257	378	1089
258	379	1086
259	380	1083
260	381	1081
261	382	1078
262	383	1075
263	384	1072
264	385	1069
265	386	1067
266	387	1064
267	388	1061
268	389	1058
269	390	1055
270	391	1053
271	392	1050
272	393	1047
273	394	1044
274	395	1041
275	396	1038
276	397	1036
277	397	1033
278	398	1031
279	399	1028
280	400	1025
281	401	1022
282	402	1020
283	403	1017
284	404	1016
285	406	1013
286	406	1010
287	407	1008
288	408	1005
289	409	1003
290	410	1000
291	411	998
292	412	995
293	413	993
294	414	990
295	415	988
296	416	985
297	417	983
298	418	980
299	419	977
300	420	975
301	420	972
302	421	970
303	422	968
304	423	965
305	424	963
306	425	960
307	426	958
308	427	955
309	428	953
310	429	951
311	430	949
312	431	947
313	432	945
314	433	942
315	434	940
316	435	937
317	436	935
318	437	932
319	437	930
320	438	928
321	439	925
322	440	923
323	441	920
324	442	918
325	443	916
326	444	914
327	445	912
328	446	909
329	446	907
330	447	905
331	448	902
332	449	900
333	450	898
334	451	896
335	452	894
336	453	891
337	454	889
338	455	887
339	455	885
340	457	883
341	457	881
342	458	878
343	459	876
344	460	874
345	461	872
346	462	870
347	463	868
348	464	865
349	465	863
350	465	861
351	466	859
352	467	856
353	468	854
354	469	852
355	469	850
356	470	847
357	471	846
358	472	844
359	473	842
360	474	840
361	475	837
362	476	836
363	477	834
364	478	831
365	479	830
366	480	828
367	481	826
368	482	824
369	482	822
370	483	820
371	484	818
372	485	816
373	486	814
374	487	812
375	488	810
376	489	808
377	490	806
378	491	804
379	492	802
380	493	801
381	494	799
382	495	798
383	496	796
384	497	794
385	498	792
386	498	790
387	499	788
388	500	786
389	501	784
390	502	782
391	503	780
392	504	778
393	504	776
394	505	774
395	506	773
396	507	771
397	508	769
398	509	767
399	510	765
400	511	764
401	512	762
402	513	760
403	514	758
404	514	756
405	515	754
406	516	752
407	517	751
408	518	749
409	519	747
410	520	745
411	521	743
412	521	741
413	522	740
414	523	738
415	524	736
416	525	734
417	526	732
418	527	731
419	528	729
420	528	727
421	529	725
422	530	723
423	531	721
424	532	720
425	533	718
426	534	716
427	534	714
428	535	713
429	536	711
430	537	709
431	538	707
432	539	706
433	540	704
434	541	702
435	542	701
436	542	699
437	543	697
438	544	695
439	545	694
440	546	692
441	547	690
442	548	689
443	548	687
444	549	685
445	550	684
446	551	682
447	552	680
448	553	679
449	554	677
450	555	675
451	555	674
452	556	672
453	557	670
454	558	668
455	559	667
456	560	665
457	561	664
458	562	662
459	562	660
460	563	659
461	564	657
462	565	655
463	566	654
464	567	652
465	568	650
466	568	649
467	569	647
468	570	646
469	571	644
470	572	642
471	573	641
472	574	639
473	575	638
474	575	636
475	576	634
476	577	633
477	578	632
478	579	630
479	580	628
480	581	627
481	582	625
482	583	624
483	584	623
484	585	621
485	586	620
486	587	618
487	588	616
488	588	615
489	589	613
490	590	612
491	591	610
492	592	609
493	593	607
494	594	606
495	594	604
496	595	602
497	596	601
498	597	599
499	598	598
500	599	596
501	600	595
502	601	593
503	601	592
504	602	590
505	603	589
506	604	587
507	605	586
508	606	584
509	607	583
510	607	581
511	608	580
512	609	578
513	610	577
514	611	575
515	612	574
516	613	572
517	614	571
518	614	569
519	615	568
520	616	566
521	617	565
522	618	563
523	619	562
524	620	561
525	621	559
526	621	558
527	622	556
528	623	555
529	624	553
530	625	552
531	626	550
532	627	549
533	627	547
534	628	546
535	629	545
536	630	543
537	631	542
538	632	540
539	632	539
540	633	537
541	634	536
542	635	534
543	636	533
544	636	531
545	637	530
546	638	528
547	639	527
548	640	526
549	641	524
550	642	523
551	642	521
552	643	520
553	644	518
554	645	517
555	646	515
556	646	514
557	647	513
558	648	511
559	649	510
560	650	508
561	651	507
562	652	506
563	652	504
564	653	503
565	654	502
566	655	500
567	656	499
568	657	498
569	658	496
570	659	495
571	660	493
572	660	492
573	661	491
574	662	489
575	663	488
576	664	487
577	665	485
578	666	484
579	667	483
580	667	481
581	668	480
582	669	479
583	670	477
584	671	476
585	672	475
586	673	473
587	674	472
588	675	471
589	676	469
590	677	468
591	677	467
592	678	465
593	679	464
594	680	463
595	681	461
596	682	460
597	683	459
598	684	458
599	685	456
600	686	455
601	686	454
602	687	452
603	688	451
604	689	450
605	690	448
606	691	447
607	692	446
608	692	444
609	693	443
610	694	442
611	695	441
612	696	439
613	697	438
614	698	437
615	699	435
616	700	434
617	701	433
618	701	432
619	702	430
620	703	429
621	704	428
622	705	426
623	706	425
624	707	424
625	707	422
626	708	421
627	709	420
628	710	419
629	711	417
630	712	416
631	713	415
632	714	414
633	715	412
634	715	411
635	716	410
636	717	408
637	718	407
638	719	406
639	720	405
640	721	403
641	722	402
642	723	401
643	724	400
644	725	399
645	726	397
646	727	396
647	728	395
648	729	394
649	730	393
650	730	391
651	731	390
652	732	389
653	733	388
654	734	386
655	735	385
656	736	384
657	736	382
658	737	381
659	738	380
660	739	379
661	740	377
662	741	376
663	741	375
664	742	374
665	743	372
666	744	371
667	745	370
668	746	369
669	747	367
670	747	366
671	748	365
672	749	364
673	750	362
674	751	361
675	752	360
676	752	359
677	753	357
678	754	356
679	755	355
680	756	354
681	757	353
682	758	351
683	758	350
684	759	349
685	760	348
686	761	346
687	762	345
688	763	344
689	763	343
690	764	341
691	765	340
692	766	339
693	767	338
694	767	336
695	768	335
696	769	334
697	770	333
698	771	332
699	771	330
700	772	329
701	773	328
702	774	327
703	775	325
704	775	324
705	776	323
706	777	322
707	778	321
708	780	320
709	780	318
710	781	317
